Project_ID,Control_Account_ID,Work_Package_ID,WBS_Code,Work_Package_Name,Control_Account_BAC_USD,Proposed_WP_Share_Pct,Proposed_WP_BAC_USD,Mapped_Task_Count,Coverage_Status,Allocation_Basis,Approval_Status,Candidate_Loaded_BAC_USD,Unresolved_BAC_USD,Phase3B_Status
P01,P01-CA01,P01-WP011,1.01.1.1,Needs Assessment,222000,55,122100,1,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,122100,0,RESOLVED_PHASE3G
P01,P01-CA01,P01-WP012,1.01.1.2,Project Definition,222000,45,99900,1,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,99900,0,RESOLVED_PHASE3G
P01,P01-CA02,P01-WP021,1.01.2.1,Preliminary Design (30%),518000,35,181300,1,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,181300,0,RESOLVED_PHASE3G
P01,P01-CA02,P01-WP022,1.01.2.2,Final Design (100%),518000,65,336700,3,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,336700,0,RESOLVED_PHASE3G
P01,P01-CA03,P01-WP031,1.01.3.1,Bid Package & Solicitation,592000,35,207200,3,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,207200,0,RESOLVED_PHASE3G
P01,P01-CA03,P01-WP032,1.01.3.2,Award & Mobilization,592000,65,384800,1,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,384800,0,RESOLVED_PHASE3G
P01,P01-CA04,P01-WP041,1.01.4.1,Pipe Installation & Jointing,5328000,72,3836160,5,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,3836160,0,RESOLVED_PHASE3G
P01,P01-CA04,P01-WP042,1.01.4.2,Valve & Hydrant Tie-Ins,5328000,16,852480,2,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,852480,0,RESOLVED_PHASE3G
P01,P01-CA04,P01-WP043,1.01.4.3,Pavement & Surface Restoration,5328000,12,639360,1,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,639360,0,RESOLVED_PHASE3G
P01,P01-CA05,P01-WP051,1.01.5.1,Startup & Functional Testing,518000,100,518000,1,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,518000,0,RESOLVED_PHASE3G
P01,P01-CA06,P01-WP061,1.01.6.1,Documentation & Turnover,222000,65,144300,1,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,144300,0,RESOLVED_PHASE3G
P01,P01-CA06,P01-WP062,1.01.6.2,Financial Closeout,222000,35,77700,1,APPROVED_COST_OWNERSHIP_BRIDGE,Synthetic scope-weighted WP split; percentage of parent CA,APPROVED_SYNTHETIC_PORTFOLIO,77700,0,RESOLVED_PHASE3G
