WBS_Code,WBS_Level,Project_ID,Project_Name,Control_Account_ID,Control_Account_Name,Work_Package_ID,Work_Package_Name,Standard_Lifecycle_Phase,Responsible_Role,Description
1.01.1,3,P01,Downtown 12-inch Water Main Replacement,P01-CA01,Planning,,,Planning,Program Controls / Planning Lead,"Planning phase for Downtown 12-inch Water Main Replacement: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.01.1.1,4,P01,Downtown 12-inch Water Main Replacement,P01-CA01,Planning,P01-WP011,Needs Assessment,Planning,Program Controls / Planning Lead,"Confirm the justification, condition assessment, and need for Downtown 12-inch Water Main Replacement."
1.01.1.2,4,P01,Downtown 12-inch Water Main Replacement,P01-CA01,Planning,P01-WP012,Project Definition,Planning,Program Controls / Planning Lead,"Finalize scope boundaries, success criteria, and program alignment for Downtown 12-inch Water Main Replacement."
1.01.2,3,P01,Downtown 12-inch Water Main Replacement,P01-CA02,Design,,,Design,Design Engineer (Consultant),Design phase for Downtown 12-inch Water Main Replacement: develop and finalize engineering design to support procurement and construction.
1.01.2.1,4,P01,Downtown 12-inch Water Main Replacement,P01-CA02,Design,P01-WP021,Preliminary Design (30%),Design,Design Engineer (Consultant),Develop preliminary (~30%) design concepts and basis of design for Downtown 12-inch Water Main Replacement.
1.01.2.2,4,P01,Downtown 12-inch Water Main Replacement,P01-CA02,Design,P01-WP022,Final Design (100%),Design,Design Engineer (Consultant),Complete final (100%) design documents and specifications for Downtown 12-inch Water Main Replacement.
1.01.3,3,P01,Downtown 12-inch Water Main Replacement,P01-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for Downtown 12-inch Water Main Replacement: solicit, award, and execute construction and/or equipment contracts."
1.01.3.1,4,P01,Downtown 12-inch Water Main Replacement,P01-CA03,Procurement,P01-WP031,Bid Package & Solicitation,Procurement,Procurement & Contracts Lead,Prepare bid documents and solicit contractor/vendor proposals for Downtown 12-inch Water Main Replacement.
1.01.3.2,4,P01,Downtown 12-inch Water Main Replacement,P01-CA03,Procurement,P01-WP032,Award & Mobilization,Procurement,Procurement & Contracts Lead,Award the contract and mobilize the contractor/vendor for Downtown 12-inch Water Main Replacement.
1.01.4,3,P01,Downtown 12-inch Water Main Replacement,P01-CA04,Construction,,,Construction,Construction Manager / Contractor,"Construction phase for Downtown 12-inch Water Main Replacement: execute physical construction, installation, or implementation work."
1.01.4.1,4,P01,Downtown 12-inch Water Main Replacement,P01-CA04,Construction,P01-WP041,Pipe Installation & Jointing,Construction,Construction Manager / Contractor,"Excavate, lay, and joint new 12-inch ductile iron water main along the downtown corridor route."
1.01.4.2,4,P01,Downtown 12-inch Water Main Replacement,P01-CA04,Construction,P01-WP042,Valve & Hydrant Tie-Ins,Construction,Construction Manager / Contractor,Install new isolation valves and fire hydrant connections and tie into the existing distribution system.
1.01.4.3,4,P01,Downtown 12-inch Water Main Replacement,P01-CA04,Construction,P01-WP043,Pavement & Surface Restoration,Construction,Construction Manager / Contractor,"Backfill, compact, and restore pavement, sidewalks, and surface features disturbed by construction."
1.01.5,3,P01,Downtown 12-inch Water Main Replacement,P01-CA05,Testing & Commissioning,,,Testing & Commissioning,Commissioning Lead,"Testing & Commissioning phase for Downtown 12-inch Water Main Replacement: test, start up, and verify system performance prior to acceptance."
1.01.5.1,4,P01,Downtown 12-inch Water Main Replacement,P01-CA05,Testing & Commissioning,P01-WP051,Startup & Functional Testing,Testing & Commissioning,Commissioning Lead,Perform startup and functional testing of completed work for Downtown 12-inch Water Main Replacement.
1.01.6,3,P01,Downtown 12-inch Water Main Replacement,P01-CA06,Closeout,,,Closeout,Project Manager,"Closeout phase for Downtown 12-inch Water Main Replacement: complete punch-list items, finalize documentation, and transfer the asset to operations."
1.01.6.1,4,P01,Downtown 12-inch Water Main Replacement,P01-CA06,Closeout,P01-WP061,Documentation & Turnover,Closeout,Project Manager,Compile as-built documentation and turn over the completed asset to operations for Downtown 12-inch Water Main Replacement.
1.01.6.2,4,P01,Downtown 12-inch Water Main Replacement,P01-CA06,Closeout,P01-WP062,Financial Closeout,Closeout,Project Manager,"Reconcile final costs, close out contracts, and complete financial closeout for Downtown 12-inch Water Main Replacement."
1.02.1,3,P02,Northside Pump Station Rehabilitation,P02-CA01,Planning,,,Planning,Program Controls / Planning Lead,"Planning phase for Northside Pump Station Rehabilitation: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.02.1.1,4,P02,Northside Pump Station Rehabilitation,P02-CA01,Planning,P02-WP011,Needs Assessment,Planning,Program Controls / Planning Lead,"Confirm the justification, condition assessment, and need for Northside Pump Station Rehabilitation."
1.02.1.2,4,P02,Northside Pump Station Rehabilitation,P02-CA01,Planning,P02-WP012,Project Definition,Planning,Program Controls / Planning Lead,"Finalize scope boundaries, success criteria, and program alignment for Northside Pump Station Rehabilitation."
1.02.2,3,P02,Northside Pump Station Rehabilitation,P02-CA02,Design,,,Design,Design Engineer (Consultant),Design phase for Northside Pump Station Rehabilitation: develop and finalize engineering design to support procurement and construction.
1.02.2.1,4,P02,Northside Pump Station Rehabilitation,P02-CA02,Design,P02-WP021,Preliminary Design (30%),Design,Design Engineer (Consultant),Develop preliminary (~30%) design concepts and basis of design for Northside Pump Station Rehabilitation.
1.02.2.2,4,P02,Northside Pump Station Rehabilitation,P02-CA02,Design,P02-WP022,Final Design (100%),Design,Design Engineer (Consultant),Complete final (100%) design documents and specifications for Northside Pump Station Rehabilitation.
1.02.3,3,P02,Northside Pump Station Rehabilitation,P02-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for Northside Pump Station Rehabilitation: solicit, award, and execute construction and/or equipment contracts."
1.02.3.1,4,P02,Northside Pump Station Rehabilitation,P02-CA03,Procurement,P02-WP031,Bid Package & Solicitation,Procurement,Procurement & Contracts Lead,Prepare bid documents and solicit contractor/vendor proposals for Northside Pump Station Rehabilitation.
1.02.3.2,4,P02,Northside Pump Station Rehabilitation,P02-CA03,Procurement,P02-WP032,Award & Mobilization,Procurement,Procurement & Contracts Lead,Award the contract and mobilize the contractor/vendor for Northside Pump Station Rehabilitation.
1.02.4,3,P02,Northside Pump Station Rehabilitation,P02-CA04,Construction,,,Construction,Construction Manager / Contractor,"Construction phase for Northside Pump Station Rehabilitation: execute physical construction, installation, or implementation work."
1.02.4.1,4,P02,Northside Pump Station Rehabilitation,P02-CA04,Construction,P02-WP041,Pump & Motor Replacement,Construction,Construction Manager / Contractor,Remove existing pumps and motors and install new high-efficiency units per design.
1.02.4.2,4,P02,Northside Pump Station Rehabilitation,P02-CA04,Construction,P02-WP042,Electrical Switchgear Upgrade,Construction,Construction Manager / Contractor,"Replace station switchgear, VFDs, and associated electrical distribution equipment."
1.02.4.3,4,P02,Northside Pump Station Rehabilitation,P02-CA04,Construction,P02-WP043,Wetwell Structural Rehabilitation,Construction,Construction Manager / Contractor,Repair and recoat wetwell concrete structure and associated access hardware.
1.02.5,3,P02,Northside Pump Station Rehabilitation,P02-CA05,Testing & Commissioning,,,Testing & Commissioning,Commissioning Lead,"Testing & Commissioning phase for Northside Pump Station Rehabilitation: test, start up, and verify system performance prior to acceptance."
1.02.5.1,4,P02,Northside Pump Station Rehabilitation,P02-CA05,Testing & Commissioning,P02-WP051,Startup & Functional Testing,Testing & Commissioning,Commissioning Lead,Perform startup and functional testing of completed work for Northside Pump Station Rehabilitation.
1.02.6,3,P02,Northside Pump Station Rehabilitation,P02-CA06,Closeout,,,Closeout,Project Manager,"Closeout phase for Northside Pump Station Rehabilitation: complete punch-list items, finalize documentation, and transfer the asset to operations."
1.02.6.1,4,P02,Northside Pump Station Rehabilitation,P02-CA06,Closeout,P02-WP061,Documentation & Turnover,Closeout,Project Manager,Compile as-built documentation and turn over the completed asset to operations for Northside Pump Station Rehabilitation.
1.02.6.2,4,P02,Northside Pump Station Rehabilitation,P02-CA06,Closeout,P02-WP062,Financial Closeout,Closeout,Project Manager,"Reconcile final costs, close out contracts, and complete financial closeout for Northside Pump Station Rehabilitation."
1.03.1,3,P03,Central Water Treatment Plant Process Upgrade,P03-CA01,Planning,,,Planning,Program Controls / Planning Lead,"Planning phase for Central Water Treatment Plant Process Upgrade: confirm scope, budget, and regulatory requirements, and align with the overall program schedule."
1.03.1.1,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA01,Planning,P03-WP011,Needs Assessment,Planning,Program Controls / Planning Lead,"Confirm the justification, condition assessment, and need for Central Water Treatment Plant Process Upgrade."
1.03.1.2,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA01,Planning,P03-WP012,Project Definition,Planning,Program Controls / Planning Lead,"Finalize scope boundaries, success criteria, and program alignment for Central Water Treatment Plant Process Upgrade."
1.03.2,3,P03,Central Water Treatment Plant Process Upgrade,P03-CA02,Design,,,Design,Design Engineer (Consultant),Design phase for Central Water Treatment Plant Process Upgrade: develop and finalize engineering design to support procurement and construction.
1.03.2.1,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA02,Design,P03-WP021,Preliminary Design (30%),Design,Design Engineer (Consultant),Develop preliminary (~30%) design concepts and basis of design for Central Water Treatment Plant Process Upgrade.
1.03.2.2,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA02,Design,P03-WP022,Final Design (100%),Design,Design Engineer (Consultant),Complete final (100%) design documents and specifications for Central Water Treatment Plant Process Upgrade.
1.03.3,3,P03,Central Water Treatment Plant Process Upgrade,P03-CA03,Procurement,,,Procurement,Procurement & Contracts Lead,"Procurement phase for Central Water Treatment Plant Process Upgrade: solicit, award, and execute construction and/or equipment contracts."
1.03.3.1,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA03,Procurement,P03-WP031,Bid Package & Solicitation,Procurement,Procurement & Contracts Lead,Prepare bid documents and solicit contractor/vendor proposals for Central Water Treatment Plant Process Upgrade.
1.03.3.2,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA03,Procurement,P03-WP032,Award & Mobilization,Procurement,Procurement & Contracts Lead,Award the contract and mobilize the contractor/vendor for Central Water Treatment Plant Process Upgrade.
1.03.4,3,P03,Central Water Treatment Plant Process Upgrade,P03-CA04,Construction,,,Construction,Construction Manager / Contractor,"Construction phase for Central Water Treatment Plant Process Upgrade: execute physical construction, installation, or implementation work."
1.03.4.1,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA04,Construction,P03-WP041,Process Mechanical Installation,Construction,Construction Manager / Contractor,"Install new process mechanical equipment (clarifiers, filters, pumps) per the treatment process design."
1.03.4.2,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA04,Construction,P03-WP042,Electrical & Instrumentation Installation,Construction,Construction Manager / Contractor,"Install new electrical distribution, control panels, and process instrumentation."
1.03.4.3,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA04,Construction,P03-WP043,Chemical Feed System Installation,Construction,Construction Manager / Contractor,"Install new chemical storage, feed pumps, and containment for treatment process chemicals."
1.03.5,3,P03,Central Water Treatment Plant Process Upgrade,P03-CA05,Testing & Commissioning,,,Testing & Commissioning,Commissioning Lead,"Testing & Commissioning phase for Central Water Treatment Plant Process Upgrade: test, start up, and verify system performance prior to acceptance."
1.03.5.1,4,P03,Central Water Treatment Plant Process Upgrade,P03-CA05,Testing & Commissioning,P03-WP051,Process Startup & Functional Testing,Testing & Commissioning,Commissioning Lead,Perform sequential process startup and functional testing of new mechanical and electrical systems.
