Cost_Ownership_Line_ID,Project_ID,Activity_ID,Funded_Cost_WP_ID,Component_BAC_USD,Baseline_Start,Baseline_Finish,Synthetic_Start,Synthetic_Finish_or_Gate,Recognition_Rule,Scenario_Status,Status_Date,Measured_Completion_Pct,Cumulative_EV_USD,Cumulative_AC_USD,Scenario_Assumption,Actual_Record_Provenance
CL0001,P01,P01-A1,P01-WP011,122100.00,2025-01-02,2025-01-15,2025-01-02,2025-01-15,WORKDAY_SPREAD,CLOSED,2026-03-31,100,122100.00,122100.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0002,P01,P01-A2,P01-WP012,99900.00,2025-01-16,2025-01-22,2025-01-16,2025-01-22,WORKDAY_SPREAD,CLOSED,2026-03-31,100,99900.00,99900.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0003,P01,P01-A3,P01-WP021,181300.00,2025-01-23,2025-02-19,2025-01-23,2025-02-19,WORKDAY_SPREAD,CLOSED,2026-03-31,100,181300.00,181300.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0004,P01,P01-A4,P01-WP022,84175.00,2025-03-06,2025-04-09,2025-03-06,2025-04-09,WORKDAY_SPREAD,CLOSED,2026-03-31,100,84175.00,84175.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0005,P01,P01-A4b,P01-WP022,84175.00,2025-04-10,2025-04-30,2025-04-10,2025-04-30,WORKDAY_SPREAD,CLOSED,2026-03-31,100,84175.00,84175.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0006,P01,P01-A12,P01-WP022,168350.00,2025-10-14,2025-10-20,2025-10-14,2025-10-20,FINAL_GATE,CLOSED,2026-03-31,100,168350.00,168350.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0007,P01,P01-A7a,P01-WP031,69067.00,2025-05-15,2025-06-04,2025-05-15,2025-06-04,PROCUREMENT_20_30_30_20,CLOSED,2026-03-31,100,69067.00,70448.34,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0008,P01,P01-A5,P01-WP031,69067.00,2025-03-27,2025-04-16,2025-03-27,2025-04-16,WORKDAY_SPREAD,CLOSED,2026-03-31,100,69067.00,69067.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0009,P01,P01-A5b,P01-WP031,69066.00,2025-04-17,2025-04-30,2025-04-17,2025-04-30,WORKDAY_SPREAD,CLOSED,2026-03-31,100,69066.00,69066.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0010,P01,P01-A6,P01-WP032,384800.00,2025-05-15,2025-06-04,2025-05-15,2025-06-04,WORKDAY_SPREAD,CLOSED,2026-03-31,100,384800.00,384800.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0011,P01,P01-A7b,P01-WP041,1278720.00,2025-06-05,2025-07-16,2025-06-05,2025-07-16,PROCUREMENT_20_30_30_20,CLOSED,2026-03-31,100,1278720.00,1304294.40,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0012,P01,P01-A4u,P01-WP041,319680.00,2025-02-20,2025-03-05,2025-02-20,2025-03-05,WORKDAY_SPREAD,CLOSED,2026-03-31,100,319680.00,319680.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0013,P01,P01-A7c,P01-WP041,1278720.00,2025-07-17,2025-07-28,2025-07-17,2025-07-28,PROCUREMENT_20_30_30_20,CLOSED,2026-03-31,100,1278720.00,1304294.40,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0014,P01,P01-A8,P01-WP041,319680.00,2025-07-29,2025-09-29,2025-07-29,2025-09-29,WORKDAY_FALLBACK,CLOSED,2026-03-31,100,319680.00,319680.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0015,P01,P01-A15,P01-WP041,639360.00,2025-11-11,2025-11-24,2025-11-11,2025-11-24,FINAL_GATE,CLOSED,2026-03-31,100,639360.00,639360.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0016,P01,P01-A9,P01-WP042,426240.00,2025-08-19,2025-09-08,2025-08-19,2025-09-08,WORKDAY_FALLBACK,CLOSED,2026-03-31,100,426240.00,426240.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0017,P01,P01-A9b,P01-WP042,426240.00,2025-08-26,2025-09-08,2025-08-26,2025-09-08,WORKDAY_SPREAD,CLOSED,2026-03-31,100,426240.00,426240.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0018,P01,P01-A10,P01-WP043,639360.00,2025-10-21,2025-11-10,2025-10-21,2025-11-10,WORKDAY_FALLBACK,CLOSED,2026-03-31,100,639360.00,639360.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0019,P01,P01-A11,P01-WP051,518000.00,2025-10-07,2025-10-13,2025-10-07,2025-10-13,FINAL_GATE,CLOSED,2026-03-31,100,518000.00,518000.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
CL0020,P01,P01-A13,P01-WP061,144300.00,2025-11-25,2025-12-08,2025-11-25,2025-12-08,FINAL_GATE,CLOSED,2026-03-31,100,144300.00,144300.00,SYNTHETIC_SCENARIO_V1; Completed and accepted; post-completion invoices incur normal closeout adjustment.,SIMULATED_NOT_EXTERNAL_EVIDENCE
