Activity_ID,Project_ID,Control_Account_ID,Work_Package_ID,WBS_Code,Activity_Name,Activity_Type,Duration_Days,Baseline_Start,Baseline_Finish,Assumption_Basis,Recovery_Status,Prior_Approved_or_Reconstructed_Start,Prior_Approved_or_Reconstructed_Finish,Early_Start,Early_Finish,Late_Start,Late_Finish,Total_Float_Days,Critical_Flag
P01-A1,P01,P01-CA01,P01-WP011,1.01.1.1,Conduct Needs Assessment,Task,10,2025-01-02,2025-01-15,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-01-02,2025-01-15,2025-01-02,2025-01-15,2025-01-02,2025-01-15,0,TRUE
P01-A6,P01,P01-CA03,P01-WP032,1.01.3.2,Contractor Mobilization,Task,15,2025-05-15,2025-06-04,Approved P01 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-01-02,2025-01-22,2025-05-15,2025-06-04,2025-07-08,2025-07-28,38,FALSE
P01-A7a,P01,P01-CA03,P01-WP031,1.01.3.1,Pipe / Valve / Hydrant Submittal Review,Task,15,2025-05-15,2025-06-04,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-01-02,2025-01-22,2025-05-15,2025-06-04,2025-05-15,2025-06-04,0,TRUE
P01-A2,P01,P01-CA01,P01-WP012,1.01.1.2,Finalize Project Definition & Scope,Task,5,2025-01-16,2025-01-22,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-01-16,2025-01-22,2025-01-16,2025-01-22,2025-01-16,2025-01-22,0,TRUE
P01-A3,P01,P01-CA02,P01-WP021,1.01.2.1,Develop Preliminary Design,Task,20,2025-01-23,2025-02-19,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-01-23,2025-02-19,2025-01-23,2025-02-19,2025-01-23,2025-02-19,0,TRUE
P01-A7b,P01,P01-CA04,P01-WP041,1.01.4.1,Pipe Fabrication,Task,30,2025-06-05,2025-07-16,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-01-23,2025-03-05,2025-06-05,2025-07-16,2025-06-05,2025-07-16,0,TRUE
P01-A4u,P01,P01-CA04,P01-WP041,1.01.4.1,Utility Coordination & Locate Requests,Task,10,2025-02-20,2025-03-05,PROVISIONAL SYNTHETIC (user approved for planning only); exact original audit duration unavailable; retained 10 business days,"USER-APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE RECOVERED | APPROVED PROVISIONAL SYNTHETIC DURATION; NOT SOURCE-RECOVERED; DATE/NETWORK NOT BASELINE-APPROVED | Scenario dates calculated from reconstructed logic, not source recovered",2025-02-20,2025-03-05,2025-02-20,2025-03-05,2025-07-15,2025-07-28,103,FALSE
P01-A4,P01,P01-CA02,P01-WP022,1.01.2.2,Complete Final Design,Task,25,2025-03-06,2025-04-09,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-03-06,2025-04-09,2025-03-06,2025-04-09,2025-03-06,2025-04-09,0,TRUE
P01-A7c,P01,P01-CA04,P01-WP041,1.01.4.1,Delivery & Receiving Inspection,Task,8,2025-07-17,2025-07-28,Approved realism audit,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-03-06,2025-03-17,2025-07-17,2025-07-28,2025-07-17,2025-07-28,0,TRUE
P01-A8,P01,P01-CA04,P01-WP041,1.01.4.1,Install & Joint Water Main Pipe,Task,45,2025-07-29,2025-09-29,Approved P01 schedule,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-03-18,2025-05-19,2025-07-29,2025-09-29,2025-07-29,2025-09-29,0,TRUE
