Activity_ID,Project_ID,Control_Account_ID,Work_Package_ID,Activity_Name,Activity_Type,Duration_Days,Baseline_Start,Baseline_Finish,Assumption_Basis,Recovery_Status
P01-A1,P01,P01-CA01,P01-WP011,Conduct Needs Assessment,Task,10,2025-01-02,2025-01-15,Project-type realism,Source-derived / reconstructed network
P01-A6,P01,P01-CA03,P01-WP032,Contractor Mobilization,Task,15,2025-01-02,2025-01-22,Approved P01 schedule,Source-derived / reconstructed network
P01-A7a,P01,P01-CA03,P01-WP031,Pipe / Valve / Hydrant Submittal Review,Task,15,2025-01-02,2025-01-22,Approved realism audit,Source-derived / reconstructed network
P01-A2,P01,P01-CA01,P01-WP012,Finalize Project Definition & Scope,Task,5,2025-01-16,2025-01-22,Project-type realism,Source-derived / reconstructed network
P01-A3,P01,P01-CA02,P01-WP021,Develop Preliminary Design,Task,20,2025-01-23,2025-02-19,Project-type realism,Source-derived / reconstructed network
P01-A7b,P01,P01-CA04,P01-WP041,Pipe Fabrication,Task,30,2025-01-23,2025-03-05,Approved realism audit,Source-derived / reconstructed network
P01-A4u,P01,P01-CA04,P01-WP041,Utility Coordination & Locate Requests,Task,10,2025-02-20,2025-03-05,Synthetic reconstruction from approved realism audit; duration not preserved verbatim,Source-derived / reconstructed network
P01-A4,P01,P01-CA02,P01-WP022,Complete Final Design,Task,25,2025-03-06,2025-04-09,Project-type realism,Source-derived / reconstructed network
P01-A7c,P01,P01-CA04,P01-WP041,Delivery & Receiving Inspection,Task,8,2025-03-06,2025-03-17,Approved realism audit,Source-derived / reconstructed network
P01-A8,P01,P01-CA04,P01-WP041,Install & Joint Water Main Pipe,Task,45,2025-03-18,2025-05-19,Approved P01 schedule,Source-derived / reconstructed network
P01-A5,P01,P01-CA03,P01-WP031,Prepare & Advertise Bid Package,Task,15,2025-03-27,2025-04-16,Approved realism audit,Source-derived / reconstructed network
P01-A9,P01,P01-CA04,P01-WP042,Install Valves & Hydrant Tie-Ins,Task,15,2025-04-08,2025-04-28,Approved P01 schedule,Source-derived / reconstructed network
P01-A4b,P01,P01-CA02,P01-WP022,Regulatory Plan Review & Approval,Task,15,2025-04-10,2025-04-30,Synthetic reconstruction from approved realism audit; duration not preserved verbatim,Source-derived / reconstructed network
P01-M1,P01,P01-CA02,P01-WP022,Design Complete,Milestone,0,2025-04-10,2025-04-10,Approved standard milestone; exact milestone date reconstructed from final network,Reconstructed date pending full executable-script recovery
P01-A9b,P01,P01-CA04,P01-WP042,Shutdown Planning & Operations Coordination,Task,10,2025-04-15,2025-04-28,Synthetic reconstruction from approved realism audit; duration not preserved verbatim,Source-derived / reconstructed network
P01-A5b,P01,P01-CA03,P01-WP031,"Bid Evaluation, Selection & Award Recommendation",Task,10,2025-04-17,2025-04-30,Approved realism audit,Source-derived / reconstructed network
P01-M2,P01,P01-CA03,P01-WP032,Contract Award / NTP,Milestone,0,2025-05-15,2025-05-15,Approved standard milestone; exact milestone date reconstructed from final network,Reconstructed date pending full executable-script recovery
P01-A11,P01,P01-CA05,P01-WP051,Pressure Testing & Disinfection,Task,5,2025-05-27,2025-06-02,Approved P01 schedule,Source-derived / reconstructed network
P01-A12,P01,P01-CA02,P01-WP022,Bacteriological Sampling & Regulatory Clearance,Task,5,2025-06-03,2025-06-09,Approved P01 schedule,Source-derived / reconstructed network
P01-A10,P01,P01-CA04,P01-WP043,Pavement & Surface Restoration,Task,15,2025-06-10,2025-06-30,Approved P01 schedule,Source-derived / reconstructed network
P01-A13,P01,P01-CA06,P01-WP061,Documentation & Turnover,Task,10,2025-06-10,2025-06-23,Approved P01 schedule,Source-derived / reconstructed network
P01-A14,P01,P01-CA06,P01-WP062,Financial Closeout,Task,15,2025-06-24,2025-07-14,Approved P01 schedule,Source-derived / reconstructed network
P01-A15,P01,P01-CA04,P01-WP041,Final Inspection & Punch List,Task,10,2025-07-01,2025-07-14,Synthetic reconstruction from approved realism audit; duration not preserved verbatim,Source-derived / reconstructed network
P01-M3,P01,P01-CA05,P01-WP051,Substantial Completion,Milestone,0,2025-07-15,2025-07-15,Approved standard milestone; exact milestone date reconstructed from final network,Reconstructed date pending full executable-script recovery
P01-M4,P01,P01-CA04,P01-WP041,Final Completion,Milestone,0,2026-01-05,2026-01-05,Approved milestone / interface milestone,Source-explicit validated finish date
P02-A1,P02,P02-CA01,P02-WP011,Conduct Needs Assessment,Task,10,2025-02-03,2025-02-14,Project-type realism,Source-derived / reconstructed network
P02-A11a,P02,P02-CA04,P02-WP042,Switchgear/VFD Submittal & Shop Drawing Review,Task,20,2025-02-03,2025-02-28,Synthetic reconstruction from approved audit standard,Source-derived / reconstructed network
P02-A6,P02,P02-CA03,P02-WP032,Contractor Mobilization,Task,10,2025-02-03,2025-02-14,Approved P02 schedule,Source-derived / reconstructed network
P02-A6b,P02,P02-CA04,P02-WP041,Bypass Planning & Operations Coordination,Task,15,2025-02-03,2025-02-21,Synthetic reconstruction from approved realism audit; duration not preserved verbatim,Source-derived / reconstructed network
