Cost_Ownership_Line_ID,Project_ID,Schedule_Activity_ID,Schedule_WP_ID,Funded_Cost_WP_ID,Cost_Component,Component_BAC_USD,Activity_Start,Activity_Finish,Calendar,Proposed_Rule_Code,Weights_Pct,Synthetic_Planned_Event_Dates,Scheduled_Recognition_Definition,Future_EV_Evidence_Requirement,Source_Method,Prior_Readiness_Status,Provenance,Approval_Status
CL0001,P01,P01-A1,P01-WP011,P01-WP011,SOURCE_WP_SCOPE,122100,2025-01-02,2025-01-15,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0002,P01,P01-A2,P01-WP012,P01-WP012,SOURCE_WP_SCOPE,99900,2025-01-16,2025-01-22,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0003,P01,P01-A3,P01-WP021,P01-WP021,SOURCE_WP_SCOPE,181300,2025-01-23,2025-02-19,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0004,P01,P01-A4,P01-WP022,P01-WP022,SOURCE_WP_SCOPE,84175,2025-03-06,2025-04-09,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0005,P01,P01-A4b,P01-WP022,P01-WP022,SOURCE_WP_SCOPE,84175,2025-04-10,2025-04-30,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0006,P01,P01-A12,P01-WP022,P01-WP022,SOURCE_WP_SCOPE,168350,2025-10-14,2025-10-20,MON_FRI_NO_HOLIDAYS,FINAL_GATE,100,2025-10-20,100% at activity finish as synthetic scheduled acceptance proxy; later EV requires independent deliverable evidence.,Task-specific approved acceptance deliverable,WEIGHTED_DELIVERABLE,ACCEPTANCE_EVIDENCE_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0007,P01,P01-A7a,P01-WP031,P01-WP031,SOURCE_WP_SCOPE,69067,2025-05-15,2025-06-04,MON_FRI_NO_HOLIDAYS,PROCUREMENT_20_30_30_20,20|30|30|20,2025-05-19|2025-05-26|2025-05-30|2025-06-04,"Synthetic 20/30/30/20 stage weights at 20%, 50%, 80%, 100% of inclusive scheduled workdays; stage labels approval, fabrication, inspection, acceptance are proxies requiring substitution if inconsistent with activity scope.",Four distinct dated stage/acceptance records (provisional schedule-relative proxies),WORKDAY_OR_DELIVERABLE,WEIGHTS_AND_EVENT_DATES_UNSPECIFIED,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0008,P01,P01-A5,P01-WP031,P01-WP031,SOURCE_WP_SCOPE,69067,2025-03-27,2025-04-16,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0009,P01,P01-A5b,P01-WP031,P01-WP031,SOURCE_WP_SCOPE,69066,2025-04-17,2025-04-30,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
CL0010,P01,P01-A6,P01-WP032,P01-WP032,SOURCE_WP_SCOPE,384800,2025-05-15,2025-06-04,MON_FRI_NO_HOLIDAYS,WORKDAY_SPREAD,PER_WORKDAY,ALL_BUSINESS_DAYS,"Evenly across inclusive scheduled Monday-Friday workdays, no holidays; final cent residual on last day.",Approve this LOE/planned-work proxy and physical progress EV rule separately,WORKDAY_OR_DELIVERABLE,DEFAULT_RULE_REQUIRES_APPROVAL,User-approved synthetic cost ownership; PV rule/date proxies newly proposed Phase 3F,APPROVED_SYNTHETIC_PV_RULE
